Year,Trade Flow,Reporter Code,Reporter,exportLat,exportLong,Reporter ISO,Partner Code,Partner,importLat,importLong,Partner ISO,Commodity,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2020,Import,842,USA,37.09024,-95.712891,USA,703,Slovakia,48.669026,19.699024,SVK,"Waste, parings and scrap, of plastics",Weight in kilograms,28318,28318,13045
2020,Export,842,USA,37.09024,-95.712891,USA,643,Russian Federation,61.52401,105.318756,RUS,"Waste, parings and scrap, of plastics",Weight in kilograms,28090,28090,10000
2020,Export,842,USA,37.09024,-95.712891,USA,32,Argentina,-38.416097,-63.616672,ARG,"Waste, parings and scrap, of plastics",Weight in kilograms,27855,27855,25070
2020,Export,842,USA,37.09024,-95.712891,USA,268,Georgia,32.1656221,-82.9000751,GEO,"Waste, parings and scrap, of plastics",Weight in kilograms,23736,23736,13584
2020,Export,842,USA,37.09024,-95.712891,USA,372,Ireland,53.1423672,-7.6920536,IRL,"Waste, parings and scrap, of plastics",Weight in kilograms,23550,23550,457969
2020,Import,842,USA,37.09024,-95.712891,USA,68,Bolivia (Plurinational State of),-16.290154,-63.588653,BOL,"Waste, parings and scrap, of plastics",Weight in kilograms,21330,21330,15255
2020,Export,842,USA,37.09024,-95.712891,USA,233,Estonia,58.595272,25.0136071,EST,"Waste, parings and scrap, of plastics",Weight in kilograms,20473,20473,5282
2020,Export,842,USA,37.09024,-95.712891,USA,68,Bolivia (Plurinational State of),-16.290154,-63.588653,BOL,"Waste, parings and scrap, of plastics",Weight in kilograms,20000,20000,17235
2020,Export,842,USA,37.09024,-95.712891,USA,226,Equatorial Guinea,1.650801,10.267895,GNQ,"Waste, parings and scrap, of plastics",Weight in kilograms,19051,19051,6000
2020,Export,842,USA,37.09024,-95.712891,USA,60,Bermuda,32.3078,-64.7505,BMU,"Waste, parings and scrap, of plastics",Weight in kilograms,18814,18814,103411
2020,Import,842,USA,37.09024,-95.712891,USA,504,Morocco,31.791702,-7.09262,MAR,"Waste, parings and scrap, of plastics",Weight in kilograms,18240,18240,19102
2020,Import,842,USA,37.09024,-95.712891,USA,44,Bahamas,25.03428,-77.39628,BHS,"Waste, parings and scrap, of plastics",Weight in kilograms,17261,17261,3913
2020,Import,842,USA,37.09024,-95.712891,USA,579,Norway,60.472024,8.468946,NOR,"Waste, parings and scrap, of plastics",Weight in kilograms,16440,16440,8132
2020,Export,842,USA,37.09024,-95.712891,USA,887,Yemen,15.552727,48.516388,YEM,"Waste, parings and scrap, of plastics",Weight in kilograms,14000,14000,9830
2020,Export,842,USA,37.09024,-95.712891,USA,752,Sweden,60.128161,18.643501,SWE,"Waste, parings and scrap, of plastics",Weight in kilograms,12058,12058,149163
2020,Export,842,USA,37.09024,-95.712891,USA,662,Saint Lucia,13.909444,-60.978893,LCA,"Waste, parings and scrap, of plastics",Weight in kilograms,10739,10739,16292
2020,Export,842,USA,37.09024,-95.712891,USA,591,Panama,8.537981,-80.782127,PAN,"Waste, parings and scrap, of plastics",Weight in kilograms,10192,10192,4494
2020,Export,842,USA,37.09024,-95.712891,USA,800,Uganda,1.373333,32.290275,UGA,"Waste, parings and scrap, of plastics",Weight in kilograms,9798,9798,60213
